Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
785;1;numeraire;6.00;1.32
786;2;carte;5.80;1.28
787;4;carte;33.75;7.43
788;1;carte;12.50;2.75
789;1;carte;25.00;5.50
790;1;numeraire;19.80;4.36
791;3;numeraire;20.00;4.40
792;1;numeraire;2.80;0.62
793;3;carte;30.40;6.69
794;1;numeraire;25.20;5.54
795;1;numeraire;3.25;0.72
796;4;carte;37.40;8.23
797;1;carte;19.50;4.29
798;3;carte;81.10;17.84
799;1;carte;16.00;3.52
800;1;numeraire;10.00;2.20
801;1;numeraire;6.00;1.32
802;4;carte;33.00;7.26
803;1;numeraire;7.00;1.54
804;1;numeraire;9.00;1.98
805;1;carte;15.00;3.30
806;1;numeraire;0.50;0.11
807;1;numeraire;13.00;2.86
808;1;carte;25.00;5.50
809;2;carte;27.50;6.05
811;1;numeraire;3.25;0.72
812;1;numeraire;8.00;1.76
813;1;numeraire;6.50;1.43
814;3;numeraire;13.30;2.93
815;1;numeraire;6.00;1.32
816;1;numeraire;6.00;1.32
817;1;carte;13.00;2.86
818;1;numeraire;6.00;1.32
819;2;carte;9.50;2.09
820;1;numeraire;2.00;0.44
821;1;numeraire;2.00;0.44
822;2;numeraire;7.10;1.56
823;1;numeraire;1.50;0.33
824;2;numeraire;21.00;4.62
825;2;numeraire;7.60;1.67
826;2;numeraire;7.60;1.67
828;2;numeraire;9.70;2.13
829;3;carte;22.20;4.88
830;2;carte;28.20;6.20
831;1;numeraire;36.00;7.92
832;1;numeraire;0.50;0.11
833;2;numeraire;13.00;2.86
834;2;numeraire;9.80;2.16
835;2;numeraire;25.00;5.50
836;1;numeraire;13.00;2.86
837;2;numeraire;20.00;4.40
838;1;numeraire;13.00;2.86
839;2;numeraire;18.20;4.00
840;1;numeraire;7.00;1.54
841;2;numeraire;32.00;7.04
842;1;numeraire;3.25;0.72
843;2;numeraire;12.50;2.75
844;3;carte;21.80;4.80
845;1;numeraire;6.80;1.50
846;1;numeraire;13.00;2.86
