Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
431;1;numeraire;10.20;2.24
432;1;carte;15.60;3.43
433;1;numeraire;17.00;3.74
434;3;carte;27.80;6.12
435;1;numeraire;6.00;1.32
436;1;numeraire;1.00;0.22
437;3;numeraire;29.00;6.38
438;2;numeraire;15.00;3.30
439;2;carte;25.60;5.63
440;1;numeraire;8.00;1.76
441;1;numeraire;13.20;2.90
442;2;numeraire;18.50;4.07
443;3;carte;167.00;36.74
444;1;numeraire;0.50;0.11
445;2;numeraire;19.00;4.18
446;2;numeraire;11.25;2.48
447;5;numeraire;45.30;9.97
448;2;numeraire;6.80;1.50
449;1;numeraire;3.25;0.72
450;2;numeraire;6.00;1.32
451;1;numeraire;2.60;0.57
452;4;carte;28.00;6.16
453;1;numeraire;3.80;0.84
454;2;numeraire;6.60;1.45
455;2;numeraire;19.00;4.18
456;1;carte;14.00;3.08
457;1;numeraire;36.00;7.92
458;2;carte;17.00;3.74
459;1;numeraire;19.00;4.18
461;2;carte;10.00;2.20
462;1;numeraire;6.50;1.43
463;1;numeraire;13.00;2.86
464;2;numeraire;10.50;2.31
465;2;numeraire;18.50;4.07
466;1;numeraire;12.00;2.64
467;1;numeraire;3.50;0.77
468;4;carte;27.00;5.94
469;1;numeraire;1.00;0.22
470;1;numeraire;0.50;0.11
471;1;numeraire;2.60;0.57
472;1;numeraire;22.80;5.02
473;1;carte;7.00;1.54
474;1;numeraire;10.00;2.20
475;3;carte;33.00;7.26
476;2;numeraire;10.60;2.33
477;1;cheque;25.00;5.50
478;1;carte;40.00;8.80
479;1;numeraire;6.00;1.32
480;2;numeraire;12.80;2.82
481;1;numeraire;12.50;2.75
482;1;numeraire;36.00;7.92
483;1;numeraire;5.20;1.14
484;1;carte;13.00;2.86
485;2;numeraire;17.80;3.92
486;1;numeraire;13.00;2.86
487;1;numeraire;13.00;2.86
488;3;numeraire;24.00;5.28
489;2;numeraire;8.60;1.89
