Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
570;1;numeraire;1.60;0.35
571;1;numeraire;31.20;6.86
572;3;numeraire;44.00;9.68
573;1;numeraire;13.00;2.86
574;1;numeraire;11.00;2.42
575;2;numeraire;23.50;5.17
576;1;numeraire;9.00;1.98
577;2;carte;13.75;3.03
578;2;numeraire;25.00;5.50
579;2;numeraire;8.00;1.76
580;2;numeraire;9.90;2.18
581;3;cheque;22.20;4.88
582;1;numeraire;3.25;0.72
583;4;carte;23.95;5.27
584;1;numeraire;6.50;1.43
585;1;numeraire;8.70;1.91
586;6;carte;44.40;9.77
587;1;numeraire;3.60;0.79
588;1;numeraire;2.00;0.44
589;2;numeraire;12.00;2.64
590;1;numeraire;2.00;0.44
591;2;numeraire;18.00;3.96
592;1;numeraire;4.00;0.88
593;3;carte;17.50;3.85
594;1;numeraire;19.50;4.29
595;2;numeraire;10.00;2.20
596;2;cheque;20.50;4.51
597;2;numeraire;7.35;1.62
598;1;numeraire;9.00;1.98
599;2;carte;35.10;7.72
600;1;numeraire;2.00;0.44
601;1;carte;2.00;0.44
602;1;numeraire;5.00;1.10
603;1;numeraire;12.00;2.64
604;3;numeraire;7.45;1.64
605;1;cheque;20.00;4.40
606;1;numeraire;5.20;1.14
607;1;numeraire;18.00;3.96
608;1;numeraire;11.40;2.51
609;5;carte;62.90;13.84
610;1;carte;50.00;11.00
611;1;numeraire;3.50;0.77
612;1;numeraire;14.00;3.08
613;1;numeraire;18.00;3.96
614;1;numeraire;3.80;0.84
615;1;numeraire;9.75;2.15
616;2;carte;20.50;4.51
617;1;numeraire;13.00;2.86
618;4;carte;21.70;4.77
619;2;carte;18.50;4.07
620;2;numeraire;17.90;3.94
621;1;numeraire;19.50;4.29
622;2;numeraire;8.25;1.82
623;1;numeraire;17.90;3.94
624;1;numeraire;8.40;1.85
625;1;numeraire;5.20;1.14
626;5;numeraire;49.90;10.98
628;2;carte;10.20;2.24
629;2;carte;62.60;13.77
630;1;carte;10.00;2.20
