Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
374;2;numeraire;23.40;5.15
375;1;numeraire;10.50;2.31
376;1;numeraire;6.00;1.32
377;4;carte;49.70;10.93
378;1;carte;6.80;1.50
379;1;numeraire;15.00;3.30
380;3;carte;19.00;4.18
381;5;carte;29.90;6.58
382;3;carte;38.25;8.42
383;1;numeraire;3.25;0.72
384;1;numeraire;12.00;2.64
385;2;carte;14.80;3.26
386;1;carte;12.00;2.64
387;4;carte;82.40;18.13
388;6;carte;61.50;13.53
389;2;carte;12.60;2.77
390;1;numeraire;3.25;0.72
391;3;carte;81.50;17.93
392;5;numeraire;52.95;11.65
