Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
302;1;numeraire;13.00;2.86
303;1;numeraire;3.20;0.70
304;1;numeraire;7.00;1.54
305;1;numeraire;7.00;1.54
306;3;numeraire;11.00;2.42
307;2;numeraire;13.00;2.86
308;1;numeraire;3.20;0.70
309;2;numeraire;16.00;3.52
310;3;carte;16.90;3.72
311;1;numeraire;7.00;1.54
312;1;numeraire;10.50;2.31
313;3;carte;22.70;4.99
314;1;numeraire;13.00;2.86
315;1;numeraire;11.00;2.42
316;1;numeraire;4.00;0.88
317;1;numeraire;13.00;2.86
318;1;numeraire;4.90;1.08
319;1;numeraire;5.50;1.21
320;2;numeraire;42.00;9.24
321;6;carte;37.30;8.21
323;3;carte;25.90;5.70
324;2;numeraire;21.90;4.82
325;3;numeraire;23.00;5.06
326;2;carte;6.65;1.46
328;2;numeraire;8.25;1.82
329;2;numeraire;7.40;1.63
330;7;carte;41.10;9.04
332;1;numeraire;12.50;2.75
333;2;numeraire;14.00;3.08
334;4;numeraire;29.20;6.42
335;2;numeraire;11.50;2.53
336;1;numeraire;14.00;3.08
337;1;numeraire;20.00;4.40
338;1;numeraire;8.00;1.76
339;1;numeraire;1.50;0.33
340;3;numeraire;14.35;3.16
341;1;numeraire;14.00;3.08
342;1;carte;20.40;4.49
343;1;numeraire;3.95;0.87
344;1;numeraire;5.00;1.10
345;1;numeraire;3.40;0.75
346;1;numeraire;16.00;3.52
347;1;numeraire;3.50;0.77
348;2;numeraire;9.40;2.07
349;1;numeraire;7.90;1.74
350;2;numeraire;5.85;1.29
352;3;numeraire;23.50;5.17
353;1;numeraire;13.00;2.86
354;2;numeraire;8.40;1.85
356;2;numeraire;11.90;2.62
