Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
394;2;cheque;30.00;6.60
395;2;numeraire;13.00;2.86
396;2;numeraire;49.00;10.78
397;1;numeraire;6.50;1.43
398;7;carte;34.55;7.60
399;1;carte;31.50;6.93
400;2;carte;12.80;2.82
401;1;numeraire;4.00;0.88
402;1;numeraire;7.00;1.54
403;5;carte;34.00;7.48
404;2;numeraire;6.00;1.32
405;2;numeraire;7.60;1.67
406;6;carte;50.40;11.09
407;3;carte;12.50;2.75
408;5;carte;43.40;9.55
409;4;numeraire;15.90;3.50
410;1;numeraire;6.50;1.43
411;1;carte;15.50;3.41
412;2;numeraire;21.00;4.62
413;1;cheque;250.00;55.00
