Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
642;1;numeraire;11.00;2.42
643;1;numeraire;19.00;4.18
644;1;numeraire;30.00;6.60
645;2;numeraire;6.75;1.49
646;5;carte;64.00;14.08
647;1;numeraire;14.00;3.08
648;2;numeraire;19.00;4.18
649;1;numeraire;12.00;2.64
650;7;carte;44.40;9.77
651;2;numeraire;23.50;5.17
652;3;carte;49.50;10.89
653;3;carte;37.50;8.25
654;13;carte;169.10;37.20
656;2;numeraire;6.25;1.38
657;1;numeraire;3.80;0.84
658;3;carte;28.50;6.27
659;1;numeraire;6.00;1.32
660;2;cheque;12.50;2.75
661;1;numeraire;8.00;1.76
662;1;numeraire;13.00;2.86
663;2;carte;12.50;2.75
664;1;numeraire;17.00;3.74
665;1;carte;66.00;14.52
666;3;carte;46.20;10.16
667;6;carte;34.85;7.67
668;4;carte;30.40;6.69
669;1;numeraire;5.50;1.21
670;4;numeraire;20.40;4.49
671;1;numeraire;3.80;0.84
672;1;numeraire;12.00;2.64
673;3;numeraire;18.70;4.11
674;1;numeraire;5.00;1.10
675;1;carte;11.00;2.42
676;2;numeraire;14.50;3.19
677;3;carte;33.90;7.46
678;2;carte;16.20;3.56
679;1;numeraire;3.00;0.66
680;3;carte;17.50;3.85
681;2;carte;38.70;8.51
682;1;numeraire;10.00;2.20
683;3;carte;16.90;3.72
684;1;numeraire;8.00;1.76
