Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
867;1;numeraire;5.00;1.10
868;6;carte;25.30;5.57
869;1;carte;36.00;7.92
870;1;carte;13.00;2.86
871;14;cheque;61.65;13.56
872;2;carte;14.50;3.19
873;1;numeraire;3.50;0.77
874;3;cheque;29.40;6.47
875;2;numeraire;23.50;5.17
876;4;carte;26.30;5.79
877;2;numeraire;27.10;5.96
878;2;carte;31.00;6.82
879;2;numeraire;7.50;1.65
880;2;numeraire;5.85;1.29
881;2;carte;17.80;3.92
882;3;carte;13.80;3.04
883;1;numeraire;6.40;1.41
884;4;carte;28.95;6.37
886;3;numeraire;17.50;3.85
887;1;cheque;30.00;6.60
888;1;carte;36.00;7.92
889;2;cheque;28.20;6.20
890;1;carte;3.00;0.66
891;1;numeraire;6.50;1.43
892;2;carte;22.20;4.88
893;1;carte;17.00;3.74
894;2;numeraire;8.80;1.94
895;4;carte;57.60;12.67
