Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
896;2;numeraire;17.00;3.74
897;2;numeraire;23.20;5.10
898;4;numeraire;20.50;4.51
899;1;numeraire;19.50;4.29
900;4;numeraire;20.05;4.41
901;1;carte;23.00;5.06
902;1;numeraire;6.00;1.32
903;2;carte;22.30;4.91
904;2;numeraire;6.45;1.42
905;2;numeraire;24.00;5.28
906;2;carte;40.60;8.93
907;2;carte;81.00;17.82
908;1;numeraire;8.50;1.87
909;2;numeraire;26.00;5.72
910;1;numeraire;0.50;0.11
911;1;numeraire;7.50;1.65
912;3;carte;53.90;11.86
913;1;numeraire;1.60;0.35
914;2;numeraire;25.70;5.65
915;3;carte;25.80;5.68
916;1;cheque;66.00;14.52
917;4;carte;33.50;7.37
918;1;carte;2.80;0.62
919;1;numeraire;5.90;1.30
920;1;numeraire;2.80;0.62
921;2;numeraire;23.00;5.06
