Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
96;4;numeraire;20.30;4.47
97;1;numeraire;20.40;4.49
98;1;numeraire;6.80;1.50
99;1;numeraire;4.90;1.08
100;1;carte;36.00;7.92
101;1;numeraire;2.00;0.44
102;1;numeraire;2.00;0.44
103;6;carte;39.60;8.71
104;4;numeraire;26.50;5.83
105;2;numeraire;19.00;4.18
106;4;carte;46.20;10.16
107;4;carte;47.00;10.34
108;1;numeraire;0.50;0.11
114;2;numeraire;34.00;7.48
115;1;numeraire;3.00;0.66
116;1;numeraire;4.00;0.88
117;1;numeraire;2.60;0.57
118;1;numeraire;3.50;0.77
121;7;carte;19.35;4.26
124;3;numeraire;14.50;3.19
125;1;numeraire;13.00;2.86
126;3;carte;39.15;8.61
