Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
70;4;carte;55.50;12.21
72;3;carte;31.40;6.91
73;1;carte;18.00;3.96
74;1;numeraire;3.95;0.87
75;5;carte;99.20;21.82
78;2;numeraire;22.00;4.84
79;2;numeraire;10.75;2.37
80;1;numeraire;6.50;1.43
81;2;carte;7.80;1.72
82;1;carte;12.50;2.75
83;2;numeraire;25.00;5.50
84;1;numeraire;0.80;0.18
85;3;numeraire;13.40;2.95
86;2;numeraire;29.00;6.38
88;2;numeraire;19.95;4.39
89;2;numeraire;12.10;2.66
90;3;numeraire;10.40;2.29
91;2;carte;26.00;5.72
92;2;numeraire;9.00;1.98
93;2;carte;21.30;4.69
