Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
848;1;numeraire;8.00;1.76
849;2;numeraire;15.60;3.43
850;5;carte;48.00;10.56
851;2;numeraire;21.30;4.69
852;1;numeraire;14.00;3.08
854;3;numeraire;18.50;4.07
855;5;carte;91.00;20.02
856;3;carte;34.10;7.50
857;3;carte;31.50;6.93
858;1;numeraire;6.50;1.43
859;3;numeraire;16.10;3.54
860;2;numeraire;6.60;1.45
861;3;carte;19.90;4.38
862;2;carte;31.80;7.00
863;1;carte;13.00;2.86
864;3;numeraire;13.55;2.98
865;1;numeraire;7.00;1.54
866;2;numeraire;5.20;1.14
