Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
936;1;numeraire;12.50;2.75
937;2;numeraire;7.60;1.67
938;2;carte;21.00;4.62
939;1;numeraire;3.60;0.79
940;2;numeraire;18.00;3.96
941;2;numeraire;25.00;5.50
942;1;numeraire;13.00;2.86
943;1;numeraire;10.50;2.31
944;3;carte;19.25;4.24
945;1;numeraire;7.90;1.74
946;2;cheque;11.50;2.53
947;2;numeraire;16.00;3.52
948;1;numeraire;6.00;1.32
949;2;numeraire;8.80;1.94
950;1;numeraire;14.90;3.28
951;1;numeraire;10.00;2.20
952;4;numeraire;32.40;7.13
953;2;numeraire;5.85;1.29
954;1;numeraire;14.90;3.28
955;1;numeraire;13.00;2.86
956;1;numeraire;6.50;1.43
957;3;carte;16.10;3.54
958;1;carte;12.00;2.64
959;2;numeraire;15.00;3.30
960;1;numeraire;10.00;2.20
961;5;cheque;26.90;5.92
962;2;numeraire;21.00;4.62
963;1;numeraire;4.00;0.88
964;3;numeraire;23.55;5.18
965;1;numeraire;6.80;1.50
966;2;carte;15.90;3.50
967;1;numeraire;66.00;14.52
968;2;numeraire;8.70;1.91
969;1;carte;12.00;2.64
970;2;carte;16.25;3.58
971;2;carte;16.80;3.70
972;2;numeraire;17.00;3.74
973;2;numeraire;7.25;1.60
974;2;numeraire;5.90;1.30
975;3;carte;22.30;4.91
976;4;numeraire;29.80;6.56
977;3;carte;16.20;3.56
978;3;carte;24.90;5.48
979;1;numeraire;19.50;4.29
980;1;numeraire;34.00;7.48
981;1;numeraire;4.00;0.88
982;2;numeraire;6.45;1.42
983;1;carte;20.00;4.40
984;2;numeraire;7.00;1.54
985;3;carte;27.60;6.07
986;2;numeraire;23.00;5.06
987;2;numeraire;20.00;4.40
988;3;numeraire;19.30;4.25
989;3;numeraire;19.00;4.18
990;2;numeraire;19.00;4.18
991;2;carte;19.35;4.26
992;2;numeraire;7.75;1.71
994;1;numeraire;1.60;0.35
995;2;numeraire;5.60;1.23
996;2;numeraire;19.00;4.18
997;3;numeraire;49.80;10.96
998;3;carte;27.10;5.96
999;6;numeraire;133.60;29.39
1000;5;numeraire;70.00;15.40
