Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
127;1;numeraire;5.60;1.23
128;2;numeraire;7.50;1.65
130;2;numeraire;8.90;1.96
131;3;numeraire;18.00;3.96
132;2;carte;29.00;6.38
133;2;cheque;24.00;5.28
136;3;numeraire;21.20;4.66
137;3;carte;29.00;6.38
138;2;numeraire;21.80;4.80
139;1;numeraire;5.20;1.14
140;3;cheque;34.60;7.61
141;2;carte;33.40;7.35
142;2;numeraire;7.50;1.65
143;4;carte;40.80;8.98
144;1;carte;17.00;3.74
145;2;numeraire;12.30;2.71
146;3;carte;71.50;15.73
147;1;numeraire;6.50;1.43
148;2;numeraire;13.00;2.86
149;1;numeraire;11.90;2.62
150;1;numeraire;8.00;1.76
151;2;numeraire;17.00;3.74
152;2;carte;34.40;7.57
153;1;numeraire;7.60;1.67
154;1;numeraire;8.00;1.76
155;2;numeraire;42.80;9.42
156;2;numeraire;8.10;1.78
157;1;numeraire;15.00;3.30
158;2;numeraire;8.75;1.93
159;1;carte;66.00;14.52
160;3;carte;14.40;3.17
161;1;numeraire;7.60;1.67
162;4;carte;55.50;12.21
163;1;cheque;25.00;5.50
164;2;numeraire;5.00;1.10
165;2;carte;17.00;3.74
166;1;numeraire;5.00;1.10
167;1;numeraire;7.00;1.54
168;4;cheque;40.60;8.93
169;1;numeraire;7.00;1.54
170;1;numeraire;10.00;2.20
171;1;numeraire;3.40;0.75
172;2;carte;20.00;4.40
173;1;numeraire;2.60;0.57
174;1;numeraire;4.90;1.08
175;1;numeraire;5.00;1.10
176;3;carte;14.70;3.23
177;1;numeraire;10.00;2.20
178;1;numeraire;14.90;3.28
179;2;numeraire;52.00;11.44
180;1;numeraire;15.00;3.30
181;1;numeraire;4.50;0.99
182;2;numeraire;9.90;2.18
183;2;numeraire;7.20;1.58
185;4;numeraire;30.90;6.80
186;2;numeraire;9.50;2.09
187;2;numeraire;15.60;3.43
188;1;numeraire;10.00;2.20
189;1;numeraire;13.00;2.86
190;1;numeraire;0.50;0.11
191;2;numeraire;21.80;4.80
192;1;numeraire;5.00;1.10
193;3;cheque;63.30;13.93
