Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
264;1;numeraire;6.80;1.50
265;2;numeraire;15.90;3.50
266;1;numeraire;13.00;2.86
267;1;numeraire;12.00;2.64
268;2;numeraire;17.00;3.74
269;3;numeraire;32.00;7.04
270;2;carte;33.00;7.26
271;1;numeraire;7.60;1.67
272;1;numeraire;24.00;5.28
273;1;numeraire;3.00;0.66
274;1;carte;25.00;5.50
275;4;carte;29.50;6.49
276;1;carte;6.50;1.43
277;6;carte;38.00;8.36
278;1;numeraire;18.00;3.96
279;5;numeraire;32.50;7.15
280;5;carte;52.10;11.46
281;1;numeraire;15.50;3.41
282;4;numeraire;32.40;7.13
283;2;numeraire;12.80;2.82
285;1;numeraire;10.50;2.31
286;2;carte;11.80;2.60
287;2;numeraire;18.00;3.96
288;1;cheque;17.00;3.74
289;1;numeraire;10.40;2.29
290;3;numeraire;21.00;4.62
291;1;numeraire;5.00;1.10
292;2;numeraire;5.85;1.29
293;1;numeraire;2.00;0.44
294;2;numeraire;24.00;5.28
295;3;carte;31.00;6.82
296;5;numeraire;32.30;7.11
297;5;carte;23.70;5.21
298;1;numeraire;4.00;0.88
299;4;carte;30.00;6.60
300;3;carte;33.40;7.35
301;1;numeraire;15.60;3.43
