Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
550;2;numeraire;17.90;3.94
551;1;cheque;46.00;10.12
552;1;carte;10.50;2.31
553;2;numeraire;13.75;3.03
554;7;cheque;88.25;19.42
555;2;numeraire;5.80;1.28
556;5;numeraire;33.80;7.44
557;2;numeraire;5.85;1.29
558;3;cheque;57.00;12.54
559;2;numeraire;7.05;1.55
560;3;numeraire;19.00;4.18
561;2;numeraire;5.85;1.29
562;10;cheque;144.90;31.88
563;1;carte;7.00;1.54
564;3;numeraire;23.90;5.26
565;8;carte;64.30;14.15
566;2;numeraire;6.30;1.39
567;3;carte;25.00;5.50
568;2;numeraire;11.00;2.42
569;1;numeraire;5.00;1.10
