Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
722;1;numeraire;13.00;2.86
723;2;carte;25.50;5.61
724;2;numeraire;15.90;3.50
725;4;numeraire;55.00;12.10
726;6;carte;78.80;17.34
727;1;numeraire;6.00;1.32
728;1;carte;22.00;4.84
729;2;numeraire;16.50;3.63
730;1;numeraire;5.00;1.10
731;1;carte;5.50;1.21
732;1;carte;31.20;6.86
733;2;numeraire;5.80;1.28
734;1;numeraire;6.00;1.32
735;1;numeraire;2.60;0.57
736;3;carte;62.30;13.71
737;2;numeraire;5.10;1.12
738;2;carte;47.00;10.34
739;2;numeraire;6.00;1.32
740;1;numeraire;8.40;1.85
741;3;numeraire;23.00;5.06
742;1;numeraire;2.00;0.44
743;1;numeraire;11.00;2.42
744;1;cheque;13.00;2.86
745;1;carte;48.00;10.56
746;2;numeraire;10.40;2.29
747;1;carte;15.00;3.30
748;3;carte;21.00;4.62
749;1;carte;24.00;5.28
750;2;carte;12.00;2.64
751;1;numeraire;2.80;0.62
752;2;carte;32.00;7.04
753;2;carte;16.00;3.52
754;2;numeraire;44.00;9.68
755;4;numeraire;22.10;4.86
756;3;numeraire;9.95;2.19
