Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
2;1;carte;14.00;3.08
4;1;numeraire;5.00;1.10
5;1;numeraire;10.00;2.20
6;1;numeraire;3.40;0.75
7;1;numeraire;6.80;1.50
8;2;carte;19.80;4.36
9;1;numeraire;6.50;1.43
10;1;carte;22.00;4.84
11;2;carte;48.00;10.56
12;2;numeraire;12.00;2.64
13;1;carte;78.00;17.16
14;3;numeraire;13.20;2.90
15;1;carte;13.00;2.86
16;4;numeraire;81.70;17.97
17;1;numeraire;2.60;0.57
18;1;numeraire;13.00;2.86
19;2;carte;12.80;2.82
20;1;numeraire;2.80;0.62
21;1;numeraire;6.00;1.32
22;2;carte;12.00;2.64
23;1;numeraire;11.00;2.42
24;1;cheque;19.50;4.29
25;1;numeraire;3.60;0.79
26;4;cheque;14.05;3.09
27;1;numeraire;17.00;3.74
28;2;carte;82.50;18.15
29;2;numeraire;10.20;2.24
30;1;carte;17.00;3.74
31;3;carte;20.40;4.49
32;2;carte;25.00;5.50
33;4;numeraire;26.00;5.72
34;1;numeraire;0.50;0.11
35;1;numeraire;15.00;3.30
36;1;numeraire;5.00;1.10
37;3;carte;39.80;8.76
38;1;numeraire;3.25;0.72
39;1;numeraire;3.90;0.86
40;1;numeraire;4.30;0.95
41;1;numeraire;2.60;0.57
42;1;numeraire;5.00;1.10
43;2;numeraire;11.80;2.60
44;3;carte;19.70;4.33
45;1;numeraire;26.00;5.72
46;3;numeraire;30.00;6.60
47;1;numeraire;4.10;0.90
