Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
512;2;carte;16.95;3.73
513;1;numeraire;2.00;0.44
514;2;numeraire;26.00;5.72
515;3;carte;39.30;8.65
516;3;carte;14.10;3.10
517;6;cheque;78.40;17.25
519;1;numeraire;19.50;4.29
520;2;numeraire;10.60;2.33
521;1;numeraire;4.30;0.95
522;1;numeraire;4.90;1.08
523;3;carte;27.70;6.09
524;1;numeraire;10.50;2.31
526;3;carte;33.90;7.46
527;1;cheque;31.20;6.86
528;1;numeraire;20.00;4.40
529;4;carte;34.50;7.59
530;2;numeraire;8.50;1.87
531;2;numeraire;5.85;1.29
532;1;numeraire;3.00;0.66
533;2;numeraire;22.00;4.84
