Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
685;1;numeraire;3.20;0.70
686;3;carte;19.80;4.36
687;5;carte;88.00;19.36
688;2;numeraire;9.90;2.18
689;2;numeraire;18.40;4.05
690;1;numeraire;13.00;2.86
691;1;numeraire;2.00;0.44
692;1;carte;7.00;1.54
693;3;carte;37.20;8.18
694;1;numeraire;5.00;1.10
695;3;numeraire;29.00;6.38
696;6;carte;113.80;25.04
697;2;numeraire;13.00;2.86
698;2;numeraire;6.25;1.38
699;5;numeraire;21.15;4.65
700;2;numeraire;6.75;1.49
701;4;numeraire;33.00;7.26
702;2;carte;27.50;6.05
703;1;numeraire;4.00;0.88
704;1;numeraire;13.00;2.86
705;1;numeraire;4.10;0.90
706;2;carte;19.40;4.27
707;1;carte;13.00;2.86
708;1;numeraire;18.00;3.96
709;1;numeraire;6.90;1.52
710;1;carte;3.50;0.77
711;2;carte;18.50;4.07
712;2;numeraire;34.00;7.48
713;3;carte;21.80;4.80
714;2;numeraire;45.80;10.08
715;1;numeraire;5.80;1.28
716;3;carte;25.30;5.57
717;2;cheque;27.50;6.05
718;8;carte;68.50;15.07
719;2;carte;13.00;2.86
720;2;carte;65.00;14.30
721;1;numeraire;5.00;1.10
